주소,count,lat,lng
서울특별시 송파구 문정동 639-5,95,37.48434,127.12246
서울특별시 마포구 망원동 420-23,94,37.55586,126.90087
서울특별시 서대문구 대현동 60-11,93,37.56058,126.94496
서울특별시 서초구 서초동 1380,93,37.48818,127.01751
서울특별시 중구 을지로6가 17-2,92,37.56719,127.00646
서울특별시 강남구 대치동 1011,91,37.49882,127.06566
서울특별시 강남구 대치동 890-59,91,37.5041552,127.0521163
서울특별시 양천구 신정동 331,90,37.5162407,126.8521196
서울특별시 서초구 서초동 산150-127,90,37.4784643,127.0095838
서울특별시 송파구 마천동 307-4,89,37.49803,127.15167
서울특별시 광진구 자양동 497-2,88,37.5329735,127.0727409
서울특별시 강북구 수유동 140,88,37.6352212,127.0090642
서울특별시 서초구 양재동 316-10,88,37.46838,127.0361
서울특별시 양천구 목동 901-3,88,37.53608,126.87585
서울특별시 양천구 신정동 331-2,87,37.5162407,126.8521196
서울특별시 성동구 성수동2가 280-13,86,37.54048,127.05601
서울특별시 관악구 봉천동 196-1,86,37.484665,126.9484961
서울특별시 노원구 중계동 377,86,37.64802,127.07678
서울특별시 마포구 서교동 365-29,86,37.5550711,126.9238244
서울특별시 강서구 화곡동 1111-8,86,37.54208,126.84656
서울특별시 서초구 서초동 1753,85,37.48818,127.01751
서울특별시 마포구 신수동 91-27,85,37.5462035,126.9359375
서울특별시 노원구 상계동 650,85,37.66727,127.07242
서울특별시 서초구 양재동 298-2,85,37.46838,127.0361
서울특별시 서초구 서초동 1391,84,37.48818,127.01751
서울특별시 강남구 역삼동 858-16,84,37.49988,127.03856
서울특별시 서초구 서초동 1390,84,37.48818,127.01751
서울특별시 강서구 화곡동 산60-1,84,37.5504021,126.8435599
서울특별시 송파구 장지동 917-7,84,37.4798337,127.1310225
서울특별시 영등포구 양평동2가 37-4,83,37.52357,126.88288
서울특별시 성동구 성수동1가 656-853,83,37.5478898,127.045421
서울특별시 성동구 성수동2가 816-4,83,37.54048,127.05601
서울특별시 동대문구 휘경동 255-4,83,37.58773,127.06526
서울특별시 구로구 구로동 65,83,37.4945849,126.8845477
서울특별시 노원구 중계동 359-16,83,37.64802,127.07678
서울특별시 양천구 목동 903-4,83,37.53608,126.87585
서울특별시 마포구 합정동 423,82,37.54678,126.9084
서울특별시 영등포구 신길동 399,82,37.5019345,126.9045692
서울특별시 강남구 삼성동 172-90,82,37.5147838,127.0543618
서울특별시 마포구 망원동 452-2,82,37.55586,126.90087
서울특별시 송파구 장지동 917-3,81,37.4798337,127.1310225
서울특별시 동대문구 용두동 237-10,80,37.57616,127.03476
서울특별시 마포구 합정동 402,80,37.54678,126.9084
서울특별시 송파구 문정동 305-24,80,37.48434,127.12246
서울특별시 송파구 잠실동 263,80,37.5122807,127.0855986
서울특별시 서초구 서초동 1739-1,79,37.48818,127.01751
서울특별시 양천구 목동 917-3,79,37.53608,126.87585
서울특별시 용산구 한남동 685-21,78,37.53822,127.0074
서울특별시 성동구 성수동2가 269-25,78,37.54048,127.05601
서울특별시 강남구 신사동 668-24,78,37.5223206,127.0277019
서울특별시 강남구 역삼동 801-7,78,37.49988,127.03856
서울특별시 관악구 봉천동 979-2,78,37.484665,126.9484961
서울특별시 송파구 가락동 78-3,77,37.49672,127.11744
서울특별시 강남구 삼성동 159-9,77,37.5147838,127.0543618
서울특별시 영등포구 영등포동 618-9,77,37.5222786,126.9078574
서울특별시 강남구 대치동 1003,77,37.49882,127.06566
서울특별시 강남구 청담동 100-19,77,37.5257535,127.0523217
서울특별시 성동구 성수동2가 322-1,77,37.54048,127.05601
서울특별시 강남구 역삼동 805,76,37.49988,127.03856
서울특별시 성동구 성수동2가 279-1,76,37.54048,127.05601
서울특별시 강남구 삼성동 172-99,76,37.5147838,127.0543618
서울특별시 강남구 청담동 91-8,76,37.5257535,127.0523217
서울특별시 서초구 양재동 105-1,75,37.46838,127.0361
서울특별시 서대문구 남가좌동 385-13,75,37.57744,126.9179
서울특별시 마포구 서교동 350-2,75,37.5550711,126.9238244
서울특별시 마포구 서교동 417,74,37.5550711,126.9238244
서울특별시 강남구 대치동 1026,74,37.49882,127.06566
서울특별시 관악구 신림동 1467-10,74,37.4868971,126.928177
서울특별시 강북구 미아동 194-1,73,37.628995,127.0257543
서울특별시 강남구 논현동 225-6,73,37.5123018,127.0294935
서울특별시 서초구 방배동 960-36,73,37.4798789,126.9939103
서울특별시 서초구 양재동 261-21,73,37.46838,127.0361
서울특별시 서대문구 창천동 53-47,72,37.5577017,126.9349665
서울특별시 영등포구 대림동 1082-24,72,37.4957573,126.899936
서울특별시 강동구 성내동 450-30,72,37.52998,127.12875
서울특별시 관악구 봉천동 1732-9,72,37.484665,126.9484961
서울특별시 마포구 합정동 402-1,72,37.54678,126.9084
서울특별시 강남구 대치동 1012-28,72,37.49882,127.06566
서울특별시 중랑구 상봉동 315-99,72,37.5973808,127.0857466
서울특별시 서초구 양재동 241-12,71,37.46838,127.0361
서울특별시 서초구 서초동 1397,71,37.48818,127.01751
서울특별시 양천구 목동 901,71,37.53608,126.87585
서울특별시 노원구 중계동 360-4,71,37.64802,127.07678
서울특별시 마포구 망원동 462-8,70,37.55586,126.90087
서울특별시 성동구 성수동1가 656-6,70,37.5435,127.03742
서울특별시 강남구 청담동 118-17,70,37.5257535,127.0523217
서울특별시 관악구 신림동 502,70,37.4868971,126.928177
서울특별시 관악구 봉천동 1712-10,69,37.484665,126.9484961
서울특별시 강서구 화곡동 662-5,69,37.54208,126.84656
서울특별시 관악구 봉천동 1693-48,69,37.4745688,126.9665028
서울특별시 강남구 대치동 1012-29,69,37.49882,127.06566
서울특별시 강남구 삼성동 172-77,68,37.5147838,127.0543618
서울특별시 강남구 대치동 903-30,68,37.49882,127.06566
서울특별시 관악구 봉천동 927-8,68,37.484665,126.9484961
서울특별시 동대문구 장안동 479-15,68,37.57105,127.06806
서울특별시 광진구 군자동 346-42,68,37.5532345,127.071936
서울특별시 노원구 상계동 456-23,68,37.66727,127.07242
서울특별시 광진구 군자동 374-35,67,37.5532345,127.071936
서울특별시 동대문구 이문동 264-203,67,37.5990206,127.0577306
서울특별시 양천구 목동 916-1,67,37.53608,126.87585
서울특별시 광진구 능동 280-1,67,37.55444,127.08156
서울특별시 영등포구 대림동 774,67,37.4957573,126.899936
서울특별시 동작구 상도동 26-20,67,37.4988159,126.9441045
서울특별시 양천구 목동 903,67,37.53608,126.87585
서울특별시 서초구 양재동 99-3,67,37.46838,127.0361
서울특별시 노원구 중계동 364-16,66,37.64802,127.07678
서울특별시 강남구 역삼동 677-25,66,37.49988,127.03856
서울특별시 성동구 성수동2가 314-13,66,37.54048,127.05601
서울특별시 관악구 봉천동 1693-40,66,37.484665,126.9484961
서울특별시 용산구 이촌동 301-5,66,37.52086,126.96612
서울특별시 송파구 마천동 183-99,66,37.49803,127.15167
서울특별시 강남구 논현동 70-11,66,37.5123018,127.0294935
서울특별시 강남구 논현동 69,66,37.5123018,127.0294935
서울특별시 동대문구 답십리동 528,66,37.57002,127.05467
서울특별시 강남구 신사동 649-9,65,37.5223206,127.0277019
서울특별시 관악구 봉천동 930-39,65,37.484665,126.9484961
서울특별시 서초구 서초동 1739-2,65,37.48818,127.01751
서울특별시 영등포구 여의도동 6,65,37.521872,126.9275525
서울특별시 강남구 대치동 891-27,65,37.49882,127.06566
서울특별시 동작구 상도동 511-3,65,37.4988159,126.9441045
서울특별시 관악구 봉천동 1693-13,65,37.484665,126.9484961
서울특별시 관악구 봉천동 100-27,64,37.484665,126.9484961
서울특별시 강남구 대치동 1012-8,64,37.49882,127.06566
서울특별시 성동구 성수동2가 316-9,64,37.54048,127.05601
서울특별시 마포구 염리동 164-14,64,37.54914,126.94915
서울특별시 용산구 이촌동 171-1,64,37.52086,126.96612
서울특별시 서대문구 북가좌동 477-1,64,37.57953,126.91156
서울특별시 강서구 가양동 1458-13,64,37.5663502,126.8525524
서울특별시 서초구 서초동 738-13,64,37.48818,127.01751
서울특별시 송파구 문정동 618,64,37.48434,127.12246
서울특별시 강서구 등촌동 709,63,37.5498936,126.86025
서울특별시 송파구 문정동 644-2,63,37.48434,127.12246
서울특별시 관악구 신림동 1642-9,63,37.4868971,126.928177
서울특별시 광진구 능동 279-2,63,37.55444,127.08156
서울특별시 서초구 양재동 5,63,37.4728926,127.0413949
